"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"79","D011301530",13671,"MATEO BEI, AV",NA,"",2932,"","03/01/2013 07:33",2,"CO",49,114," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13671,"MATEO BEI, AV",NA,"",75,"SAO MATEUS",1,0,"MATEO BEI, AV 2932 SAO PAULO SP",-23.6070312,-46.4789381
"80","D011301189",3509,"BELMIRA MARIN, AV DONA",NA,"",2532,"","03/01/2013 07:40",2,"CL",85,82," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509,"BELMIRA MARIN, AV DONA",NA,"",30,"GRAJAU",1,0,"BELMIRA MARIN, AV DONA 2532 SAO PAULO SP",-23.7510332,-46.6884309
"81","D011301276",9220,"INTERLAGOS, AV",NA,"",1100,"","03/01/2013 09:00",2,"CO",99,23," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9220,"INTERLAGOS, AV",NA,"",16,"CAMPO GRANDE",1,0,"INTERLAGOS, AV 1100 SAO PAULO SP",-23.6536628,-46.6799756
"82","D011300788",15426,"PARADA PINTO, AV",NA,"",2464,"","03/01/2013 09:10",2,"CO",38,46," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15426,"PARADA PINTO, AV",NA,"",8,"BELEM",1,0,"PARADA PINTO, AV 2464 SAO PAULO SP",-23.4695952,-46.6473685
"83","D011300376",16919,"REBOUCAS, AV",8714,"HENRIQUE SCHAUMANN, RUA",0,"","03/01/2013 09:30",2,"SI",14,58," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,"BRASIL, AV",16919,"REBOUCAS, AV",63,"PINHEIROS",1,0,"REBOUCAS, AV SAO PAULO SP &  HENRIQUE SCHAUMANN, RUA SAO PAULO SP",-23.5666153,-46.6829404
"84","D011300511",9529,"ITAPECERICA, ES DE",3079,"BELEZAS, AV DAS",0,"","03/01/2013 10:10",2,"CO",37,646," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079,"BELEZAS, AV DAS",9529,"ITAPECERICA, ES DE",85,"VILA ANDRADE",1,0,"ITAPECERICA, ES DE SAO PAULO SP &  BELEZAS, AV DAS SAO PAULO SP",-23.5505199,-46.6333094
"85","D011300760",835,"ALTINOPOLIS, RUA",NA,"",124,"","03/01/2013 10:30",2,"CO",20,900006,"B"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,"ALTINOPOLIS, RUA",NA,"",71,"SANTANA",1,0,"ALTINOPOLIS, RUA 124 SAO PAULO SP",-23.4851039,-46.6174773
"86","D011301384",18803,"TEODORO, RUA S",NA,"",1200,"","03/01/2013 10:30",2,"QM",32,49," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18803,"TEODORO, RUA S",NA,"",51,"MANDAQUI",1,0,"TEODORO, RUA S 1200 SAO PAULO SP",-23.5564713,-46.4497769
"87","D011301591",17824,"SAPOPEMBA, AV",NA,"",15000,"","03/01/2013 11:00",2,"CL",55,47," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",1,0,"SAPOPEMBA, AV 15000 SAO PAULO SP",-23.6204082,-46.4671858
"88","D011301343",7060,"GONCALO DO RIO DAS PEDRAS, RUA S",NA,"",19,"","03/01/2013 11:10",2,"CL",22,35," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7060,"GONCALO DO RIO DAS PEDRAS, RUA S",NA,"",43,"JARDIM HELENA",2,0,"GONCALO DO RIO DAS PEDRAS, RUA S 19 SAO PAULO SP",-23.4820274,-46.421449
"90","D011300518",19657,"VICENTE PINHEIRO, RUA",NA,"",320,"","03/01/2013 12:00",2,"QD",37,866," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19657,"VICENTE PINHEIRO, RUA",NA,"",29,"FREGUESIA DO O",1,0,"VICENTE PINHEIRO, RUA 320 SAO PAULO SP",-23.6437533,-46.7719609
"91","D011301552",36285,"ADRIANO BERTOZZI, AV",NA,"",999,"","03/01/2013 12:31",2,"SI",53,59," "," ",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,36285,"ADRIANO BERTOZZI, AV",NA,"",51,"MANDAQUI",1,0,"ADRIANO BERTOZZI, AV 999 SAO PAULO SP",-23.5746812,-46.4542241
"92","D011300550",16878,"RAPOSO TAVARES, VIA",NA,"",13,"","03/01/2013 12:55",4,"AT",51,48," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16878,"RAPOSO TAVARES, VIA",NA,"",13,"CACHOEIRINHA",1,0,"RAPOSO TAVARES, VIA 13 SAO PAULO SP",-23.6219461,-46.6885241
"93","D011300055",14804,"NOVE DE JULHO, AV",NA,"",871,"","03/01/2013 13:05",4,"AT",4,65," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14804,"NOVE DE JULHO, AV",NA,"",63,"PINHEIROS",1,0,"NOVE DE JULHO, AV 871 SAO PAULO SP",-23.5514675,-46.64633
"94","D011300685",3637,"BRAZ LEME, AV",NA,"",3029,"","03/01/2013 13:10",2,"QM",13,38," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637,"BRAZ LEME, AV",NA,"",21,"CASA VERDE",1,0,"BRAZ LEME, AV 3029 SAO PAULO SP",-23.5037767,-46.6302197
"95","D011300427",12710,"MANUEL GUEDES, RUA",NA,"",135,"","03/01/2013 14:13",2,"QM",15,310," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12710,"MANUEL GUEDES, RUA",NA,"",NA,"",1,0,"MANUEL GUEDES, RUA 135 SAO PAULO SP",-23.581838,-46.679726
"97","D011301668",13767,"MAZZEI, AV",NA,"",1564,"","03/01/2013 15:35",4,"AT",39,49," "," ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13767,"MAZZEI, AV",NA,"",84,"TUCURUVI",1,1,"MAZZEI, AV 1564 SAO PAULO SP",-23.4691724,-46.5974056
"98","D011300973",16100,"PEREIRA VERGUEIRO, AV DR",10654,"JORDAO DA COSTA, RUA",0,"","03/01/2013 17:10",2,"CO",21,124,"B"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10654,"JORDAO DA COSTA, RUA",16100,"PEREIRA VERGUEIRO, AV DR",93,"VILA MATILDE",1,0,"PEREIRA VERGUEIRO, AV DR SAO PAULO SP &  JORDAO DA COSTA, RUA SAO PAULO SP",-23.5425738,-46.4972766
"99","D011301572",99999,"METALURGICOS, AV DOS",NA,"",150,"","03/01/2013 18:00",2,"QD",54,96," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,"METALURGICOS, AV DOS",NA,"",25,"CIDADE TIRADENT",1,0,"METALURGICOS, AV DOS 150 SAO PAULO SP",-23.5846731,-46.4090209
"100","D011300599",8000,"GIOVANNI GRONCHI, AV",NA,"",6582,"","03/01/2013 18:03",2,"QD",89,61," "," ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8000,"GIOVANNI GRONCHI, AV",NA,"",55,"MORUMBI",1,0,"GIOVANNI GRONCHI, AV 6582 SAO PAULO SP",-23.6376824,-46.7370034
"102","D011300492",76341,"MONFORTE DE LEMOS, RUA",34682,"CAMPO LIMPO, ES DO",0,"","03/01/2013 20:30",4,"AT",37,66," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34682,"CAMPO LIMPO, ES DO",76341,"MONFORTE DE LEMOS, RUA",NA,"",1,0,"MONFORTE DE LEMOS, RUA SAO PAULO SP &  CAMPO LIMPO, ES DO SAO PAULO SP",-23.6461037,-46.7679055
"103","D011301592",17824,"SAPOPEMBA, AV",NA,"",16556,"","04/01/2013 00:27",2,"CL",55,157," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",1,0,"SAPOPEMBA, AV 16556 SAO PAULO SP",-23.6226106,-46.4468842
"104","D011301254",852,"ALVARENGA, ES DO",NA,"",6400,"","04/01/2013 05:50",2,"CO",98,145," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,"ALVARENGA, ES DO",NA,"",59,"PEDREIRA",1,0,"ALVARENGA, ES DO 6400 SAO PAULO SP",-23.5505199,-46.6333094
"105","D011300140",10485,"JOAO TEODORO, RUA",6642,"ESTADO, AV DO",0,"","04/01/2013 05:59",2,"CO",12,55," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6642,"ESTADO, AV DO",10485,"JOAO TEODORO, RUA",9,"BOM RETIRO",2,0,"JOAO TEODORO, RUA SAO PAULO SP &  ESTADO, AV DO SAO PAULO SP",-23.5342424,-46.6255239
"106","D011301482",10393,"JOAO NERY, ES DOM",71958,"SABINOPOLIS, RUA",0,"","04/01/2013 07:03",2,"CF",67,47," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10393,"JOAO NERY, ES DOM",71958,"SABINOPOLIS, RUA",86,"VILA CURUCA",1,0,"JOAO NERY, ES DOM SAO PAULO SP &  SABINOPOLIS, RUA SAO PAULO SP",-23.5505199,-46.6333094
"107","D011301553",60675,"AFONSO DE SAMPAIO E SOUSA, AV",2181,"ARICANDUVA, AV",0,"","04/01/2013 07:30",4,"AT",53,79," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,"ARICANDUVA, AV",60675,"AFONSO DE SAMPAIO E SOUSA, AV",75,"SAO MATEUS",1,0,"AFONSO DE SAMPAIO E SOUSA, AV SAO PAULO SP &  ARICANDUVA, AV SAO PAULO SP",-23.5658443,-46.4678549
"108","D011300038",4561,"CASTELO BRANCO, AV PRES",NA,"",12,"","04/01/2013 07:50",2,"QM",2,59," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",6,"BARRA FUNDA",1,0,"CASTELO BRANCO, AV PRES 12 SAO PAULO SP",-23.521604,-46.6383148
"109","D011300493",34682,"CAMPO LIMPO, ES DO",NA,"",4426,"","04/01/2013 09:00",2,"CO",37,88," "," ",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,34682,"CAMPO LIMPO, ES DO",NA,"",17,"CAMPO LIMPO",2,0,"CAMPO LIMPO, ES DO 4426 SAO PAULO SP",-23.2019463,-46.785846
"110","D011301385",4457,"FLORES DO PIAUI, RUA",NA,"",80,"","04/01/2013 11:00",2,"CO",32,62," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457,"FLORES DO PIAUI, RUA",NA,"",36,"ITAQUERA",1,0,"FLORES DO PIAUI, RUA 80 SAO PAULO SP",-23.5382821,-46.4558459
"111","D011300729",14767,"NOVA CANTAREIRA, AV",NA,"",1559,"","04/01/2013 11:04",2,"CO",20,88," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14767,"NOVA CANTAREIRA, AV",NA,"",83,"TREMEMBE",1,0,"NOVA CANTAREIRA, AV 1559 SAO PAULO SP",-23.481926,-46.612872
"112","D011300938",17607,"SAIVA, RUA",NA,"",237,"","04/01/2013 11:30",2,"CT",10,144," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17607,"SAIVA, RUA",NA,"",3,"ANHANGUERA",1,0,"SAIVA, RUA 237 SAO PAULO SP",-23.5165038,-46.5251867
"113","D011300815",36061,"LUIZ DUMONT VILLARES, AV",896,"ALVARO MACHADO PEDROSA, AV",0,"","04/01/2013 11:30",4,"AT",39,58," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,"ALVARO MACHADO PEDROSA, AV",36061,"LUIZ DUMONT VILLARES, AV",84,"TUCURUVI",1,0,"LUIZ DUMONT VILLARES, AV SAO PAULO SP &  ALVARO MACHADO PEDROSA, AV SAO PAULO SP",-23.4939156,-46.6115208
"114","D011301085",6371,"ELISABETH DE ROBIANO, AV CDSSA",NA,"",700,"","04/01/2013 11:40",2,"QM",81,323," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",82,"TATUAPE",1,0,"ELISABETH DE ROBIANO, AV CDSSA 700 SAO PAULO SP",-23.5076424,-46.5495997
"115","D011300642",3376,"BILLINGS, AV ENG",NA,"",2500,"","04/01/2013 11:40",2,"CO",93,88," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,"",40,"JAGUARE",1,0,"BILLINGS, AV ENG 2500 SAO PAULO SP",-23.5335415,-46.7538574
"116","D011300937",16925,"RECIFE, RUA",41556,"ALFREDO DE FRANCO, RUA",0,"","04/01/2013 12:42",2,"CL",10,141," "," ",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16925,"RECIFE, RUA",41556,"ALFREDO DE FRANCO, RUA",NA,"",1,0,"RECIFE, RUA SAO PAULO SP &  ALFREDO DE FRANCO, RUA SAO PAULO SP",-23.5299338,-46.55122
"117","D011300714",28156,"MARIA JOSE BARONE FERNANDES, RUA PROFA",15131,"GUARANESIA, RUA",0,"","04/01/2013 12:45",2,"CL",19,45," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15131,"GUARANESIA, RUA",28156,"MARIA JOSE BARONE FERNANDES, RUA PROFA",NA,"",2,0,"MARIA JOSE BARONE FERNANDES, RUA PROFA SAO PAULO SP &  GUARANESIA, RUA SAO PAULO SP",-23.5187347,-46.5900737
"118","D011301130",34128,"JOAO DE LUCA, AV VER",NA,"",430,"","04/01/2013 13:00",2,"CO",43,60,"C"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34128,"JOAO DE LUCA, AV VER",NA,"",42,"JARDIM ANGELA",1,0,"JOAO DE LUCA, AV VER 430 SAO PAULO SP",-23.647863,-46.6706949
"119","D011300200",5618,"CURSINO, AV DO",NA,"",1600,"","04/01/2013 13:00",4,"AT",16,118," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,"CURSINO, AV DO",NA,"",27,"CURSINO",1,0,"CURSINO, AV DO 1600 SAO PAULO SP",-23.6165569,-46.6178179
"120","D011300225",12611,"MANIFESTO, RUA",NA,"",705,"","04/01/2013 13:30",4,"AT",17,65," "," ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12611,"MANIFESTO, RUA",NA,"",33,"IPIRANGA",1,0,"MANIFESTO, RUA 705 SAO PAULO SP",-23.5796499,-46.6018403
"121","D011300495",99949,"CARLOS CALDEIRA FILHO, AV",NA,"",2357,"","04/01/2013 13:30",2,"CO",37,105," "," ",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99949,"CARLOS CALDEIRA FILHO, AV",NA,"",19,"CAPAO REDONDO",1,0,"CARLOS CALDEIRA FILHO, AV 2357 SAO PAULO SP",-23.6488068,-46.7582288
"122","D011301577",99999,"METALURGICOS, AV DOS",NA,"",180,"","04/01/2013 14:00",4,"AT",54,301," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,"METALURGICOS, AV DOS",NA,"",25,"CIDADE TIRADENT",1,0,"METALURGICOS, AV DOS 180 SAO PAULO SP",-23.5863448,-46.4092981
"123","D011300001",13733,"MAUA, RUA",NA,"",806,"","04/01/2013 14:00",4,"AT",1,96," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13733,"MAUA, RUA",NA,"",67,"REPUBLICA",1,0,"MAUA, RUA 806 SAO PAULO SP",-23.5362224,-46.6322762
"124","D011300730",19884,"VOLUNTARIOS DA PATRIA, RUA",NA,"",5000,"","04/01/2013 15:00",2,"CO",20,92," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19884,"VOLUNTARIOS DA PATRIA, RUA",NA,"",8,"BELEM",1,0,"VOLUNTARIOS DA PATRIA, RUA 5000 SAO PAULO SP",-23.4788504,-46.6326681
"125","D011301397",17820,"TITO, AV MAL",NA,"",4277,"","04/01/2013 15:15",4,"AT",50,175," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17820,"TITO, AV MAL",NA,"",53,"MOEMA",1,0,"TITO, AV MAL 4277 SAO PAULO SP",-23.4952194,-46.4041946
"126","D011300141",6642,"ESTADO, AV DO",10485,"JOAO TEODORO, RUA",0,"","04/01/2013 15:45",2,"CV",12,104," "," ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6642,"ESTADO, AV DO",10485,"JOAO TEODORO, RUA",9,"BOM RETIRO",1,0,"ESTADO, AV DO SAO PAULO SP &  JOAO TEODORO, RUA SAO PAULO SP",-23.5635869,-46.6112253
"127","D011300378",16919,"REBOUCAS, AV",8714,"HENRIQUE SCHAUMANN, RUA",0,"","04/01/2013 15:50",2,"SI",14,89," "," ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3581,"BRASIL, AV",16919,"REBOUCAS, AV",63,"PINHEIROS",1,0,"REBOUCAS, AV SAO PAULO SP &  HENRIQUE SCHAUMANN, RUA SAO PAULO SP",-23.5666153,-46.6829404
"128","D011300643",13019,"ESCOLA POLITECNICA, AV",9836,"JAGUARE, AV",0,"","04/01/2013 16:10",2,"CO",93,116," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,"CORIFEU DE AZEVEDO MARQUES, AV",9836,"JAGUARE, AV",55,"MORUMBI",1,0,"ESCOLA POLITECNICA, AV SAO PAULO SP &  JAGUARE, AV SAO PAULO SP",-23.5585284,-46.7466636
"129","D011301181",10564,"JOAQUIM HONORATO DE CAMARGO, PCA",NA,"",100,"","04/01/2013 16:40",4,"AT",80,55," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10564,"JOAQUIM HONORATO DE CAMARGO, PCA",NA,"",29,"FREGUESIA DO O",1,0,"JOAQUIM HONORATO DE CAMARGO, PCA 100 SAO PAULO SP",-23.6722681,-46.6596772
"130","D011301041",27094,"SALIM FARAH MALUF, AV",NA,"",100,"","04/01/2013 17:30",2,"SI",52,325," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27094,"SALIM FARAH MALUF, AV",NA,"",82,"TATUAPE",1,0,"SALIM FARAH MALUF, AV 100 SAO PAULO SP",-23.5361917,-46.5828569
"131","D011301507",10152,"JOAO BATISTA CONTI, AV PROF",NA,"",1225,"","04/01/2013 18:00",4,"AT",103,68," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10152,"JOAO BATISTA CONTI, AV PROF",NA,"",46,"JOSE BONIFACIO",2,0,"JOAO BATISTA CONTI, AV PROF 1225 SAO PAULO SP",-23.5511823,-46.4392624
"133","D011301469",12156,"LUIZ AYRES, RUA DR",NA,"",1801,"","04/01/2013 18:00",2,"CT",65,54," "," ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12156,"LUIZ AYRES, RUA DR",NA,"",5,"ARTUR ALVIM",1,0,"LUIZ AYRES, RUA DR 1801 SAO PAULO SP",-23.5382625,-46.4862474
"134","D011300462",12502,"MAGALHAES DE CASTRO, AV",NA,"",16000,"","04/01/2013 18:10",2,"CL",34,86," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,"",12,"BUTANTA",1,0,"MAGALHAES DE CASTRO, AV 16000 SAO PAULO SP",-23.6128012,-46.7008832
"135","D011301046",24338,"LUIZ IGNACIO ANHAIA MELLO, AV PROF",NA,"",2568,"","04/01/2013 18:10",2,"CO",56,69," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24338,"LUIZ IGNACIO ANHAIA MELLO, AV PROF",NA,"",26,"CONSOLACAO",1,0,"LUIZ IGNACIO ANHAIA MELLO, AV PROF 2568 SAO PAULO SP",-23.5861544,-46.5896301
"136","D011300377",16919,"REBOUCAS, AV",11989,"LORENA, AL",0,"","04/01/2013 18:30",2,"CO",14,82," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11989,"LORENA, AL",16919,"REBOUCAS, AV",44,"JARDIM PAULISTA",1,0,"REBOUCAS, AV SAO PAULO SP &  LORENA, AL SAO PAULO SP",-23.5666153,-46.6829404
"137","D011300789",15426,"PARADA PINTO, AV",14210,"CASA ILHA DA MADEIRA, RUA",0,"","04/01/2013 18:40",2,"CO",38,82,"C"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14210,"CASA ILHA DA MADEIRA, RUA",15426,"PARADA PINTO, AV",51,"MANDAQUI",1,0,"PARADA PINTO, AV SAO PAULO SP &  CASA ILHA DA MADEIRA, RUA SAO PAULO SP",-23.4694786,-46.6646692
"139","D011301028",15032,"ORATORIO, AV DO",NA,"",2207,"","04/01/2013 19:00",2,"SI",42,85," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15032,"ORATORIO, AV DO",NA,"",26,"CONSOLACAO",3,0,"ORATORIO, AV DO 2207 SAO PAULO SP",-23.5917759,-46.5478294
"140","D011301573",99999,"METALURGICOS, AV DOS",NA,"",2500,"","04/01/2013 19:10",2,"CO",54,111," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,"METALURGICOS, AV DOS",NA,"",25,"CIDADE TIRADENT",1,0,"METALURGICOS, AV DOS 2500 SAO PAULO SP",-23.6017329,-46.3989265
"141","D011300448",42274,"JOAQUIM BANDEIRA DE MELLO, RUA DESEM",NA,"",657,"","04/01/2013 19:30",2,"CL",33,136," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42274,"JOAQUIM BANDEIRA DE MELLO, RUA DESEM",NA,"",31,"GUAIANASES",2,0,"JOAQUIM BANDEIRA DE MELLO, RUA DESEM 657 SAO PAULO SP",-23.5787589,-46.7713461
"142","D011300186",2497,"AUGUSTA, RUA",10004,"JAU, AL",0,"","04/01/2013 19:45",4,"AT",78,81," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,"AUGUSTA, RUA",10004,"JAU, AL",44,"JARDIM PAULISTA",1,0,"AUGUSTA, RUA SAO PAULO SP &  JAU, AL SAO PAULO SP",-23.5560595,-46.658132
"143","D011300566",16878,"RAPOSO TAVARES, VIA",NA,"",16000,"","04/01/2013 20:00",2,"CO",75,42," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16878,"RAPOSO TAVARES, VIA",NA,"",13,"CACHOEIRINHA",2,0,"RAPOSO TAVARES, VIA 16000 SAO PAULO SP",-23.5223375,-48.4879815
"144","D011300997",34122,"MELO FREIRE, RUA",19206,"TUIUTI, RUA",0,"","04/01/2013 21:30",4,"AT",30,56," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19206,"TUIUTI, RUA",34122,"MELO FREIRE, RUA",82,"TATUAPE",1,0,"MELO FREIRE, RUA SAO PAULO SP &  TUIUTI, RUA SAO PAULO SP",-23.5391715,-46.5695321
"145","D011300975",20309,"ANUNCIACAO, PCA NSRA DA",NA,"",100,"","04/01/2013 21:37",2,"CO",21,159," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20309,"ANUNCIACAO, PCA NSRA DA",NA,"",38,"JACANA",1,0,"ANUNCIACAO, PCA NSRA DA 100 SAO PAULO SP",-23.5505199,-46.6333094
"146","D011300239",16602,"PAGANO SOBRINHO, RUA",NA,"",195,"","04/01/2013 21:55",4,"AT",26,89," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16602,"PAGANO SOBRINHO, RUA",NA,"",21,"CASA VERDE",1,0,"PAGANO SOBRINHO, RUA 195 SAO PAULO SP",-23.6338041,-46.6041444
"147","D011301142",35497,"ABILIO CESAR, RUA",NA,"",99,"","04/01/2013 22:14",4,"AT",47,211," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35497,"ABILIO CESAR, RUA",NA,"",19,"CAPAO REDONDO",1,0,"ABILIO CESAR, RUA 99 SAO PAULO SP",-23.6830609,-46.7782626
"149","D011300998",34122,"MELO FREIRE, RUA",1967,"APUCARANA, RUA",0,"","05/01/2013 02:31",2,"CT",30,58," "," ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,"APUCARANA, RUA",34122,"MELO FREIRE, RUA",82,"TATUAPE",1,0,"MELO FREIRE, RUA SAO PAULO SP &  APUCARANA, RUA SAO PAULO SP",-23.5391715,-46.5695321
"150","D011301631",2878,"BARREIRA GRANDE, AV DA",NA,"",290,"","05/01/2013 02:55",2,"CO",69,171," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,"BARREIRA GRANDE, AV DA",NA,"",78,"SAPOPEMBA",1,0,"BARREIRA GRANDE, AV DA 290 SAO PAULO SP",-23.5833422,-46.5317794
"151","D011301429",13881,"MIGUEL, AV S",30286,"RAIMUNDO MACHADO, RUA",0,"","05/01/2013 03:00",4,"AT",62,148," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,"MIGUEL, AV S",30286,"RAIMUNDO MACHADO, RUA",NA,"",2,0,"MIGUEL, AV S SAO PAULO SP &  RAIMUNDO MACHADO, RUA SAO PAULO SP",-23.513252,-46.517118
"152","D011300229",19958,"WILSON, AV PRES",16284,"PINTO LIMA, RUA PRES",0,"","05/01/2013 03:00",2,"CO",17,138," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16284,"PINTO LIMA, RUA PRES",19958,"WILSON, AV PRES",NA,"",1,0,"WILSON, AV PRES SAO PAULO SP &  PINTO LIMA, RUA PRES SAO PAULO SP",-23.5663101,-46.6056684
"153","D011301458",21253,"AGUIA DE HAIA, AV",NA,"",2300,"","05/01/2013 04:45",2,"CO",64,172," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21253,"AGUIA DE HAIA, AV",NA,"",0,"NULL",1,0,"AGUIA DE HAIA, AV 2300 SAO PAULO SP",-23.5258183,-46.4746105
"154","D011301399",17820,"TITO, AV MAL",NA,"",5900,"","05/01/2013 05:00",2,"QD",50,235," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17820,"TITO, AV MAL",NA,"",53,"MOEMA",1,0,"TITO, AV MAL 5900 SAO PAULO SP",-23.4939874,-46.3897899
"155","D011301693",34122,"MELO FREIRE, RUA",14178,"MONTE SERRAT, RUA",0,"","05/01/2013 05:10",4,"AT",30,45," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14178,"MONTE SERRAT, RUA",34122,"MELO FREIRE, RUA",82,"TATUAPE",0,1,"MELO FREIRE, RUA SAO PAULO SP &  MONTE SERRAT, RUA SAO PAULO SP",-23.5391715,-46.5695321
"156","D011300970",2181,"ARICANDUVA, AV",NA,"",3321,"","05/01/2013 05:41",2,"CT",21,47," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,"ARICANDUVA, AV",NA,"",60,"PENHA",1,0,"ARICANDUVA, AV 3321 SAO PAULO SP",-23.5532763,-46.5190095
